image_path,source_dataset,original_label,normalized_label,label_source,confidence,verification_status
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\WOMEN-Tees_Tanks-id_00000220-01_7_additional.jpg,deepfashion,The shirt this person wears has short sleeves and its fabric is cotton. The pattern of it is pure color. It has a v-shape neckline. This person wears ,Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\MEN-Tees_Tanks-id_00005013-02_1_front.jpg,deepfashion,"The shirt the person wears has short sleeves, its fabric is cotton, and it has pure color patterns. The shirt has a crew neckline. There is an accesso",Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\MEN-Shirts_Polos-id_00004118-03_3_back.jpg,deepfashion,This gentleman is wearing a long-sleeve sweater with pure color patterns. The sweater is with cotton fabric and its neckline is lapel. The guy is wear,Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\WOMEN-Tees_Tanks-id_00004083-03_2_side.jpg,deepfashion,The sweater this female wears has long sleeves and its fabric is cotton. The pattern of it is pure color. It has a round neckline. This female wears a,Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\WOMEN-Dresses-id_00001060-01_3_back.jpg,deepfashion,The female is wearing a sleeveless tank top with stripe patterns and a medium pants. The tank top is with cotton fabric. The pants are with cotton fab,Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\WOMEN-Cardigans-id_00003150-05_2_side.jpg,deepfashion,"Her shirt has long sleeves, cotton fabric and stripe patterns. The neckline of it is stand. The pants this female wears is of three-point length. The ",Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\WOMEN-Blouses_Shirts-id_00007067-01_2_side.jpg,deepfashion,"The tank shirt this female wears has sleeves cut off, its fabric is cotton, and it has graphic patterns. There is an accessory on her wrist. This lady",Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\WOMEN-Blouses_Shirts-id_00000387-03_1_front.jpg,deepfashion,The person wears a sleeveless tank shirt with plaid patterns. The tank shirt is with cotton fabric. The neckline of the tank shirt is lapel.,Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\WOMEN-Tees_Tanks-id_00003917-45_3_back.jpg,deepfashion,The lady wears a sleeveless tank top with solid color patterns. The tank top is with cotton fabric. This woman wears a ring.,Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\MEN-Tees_Tanks-id_00004117-23_1_front.jpg,deepfashion,The person wears a short-sleeve T-shirt with pure color patterns. The T-shirt is with cotton fabric. The neckline of the T-shirt is v-shape.,Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\WOMEN-Tees_Tanks-id_00001882-02_2_side.jpg,deepfashion,The person wears a tank tank top with pure color patterns. The tank top is with cotton fabric and its neckline is round. There is an accessory on her ,Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\WOMEN-Tees_Tanks-id_00004053-06_1_front.jpg,deepfashion,The person is wearing a short-sleeve shirt with complicated patterns. The shirt is with cotton fabric and its neckline is crew.,Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\WOMEN-Shorts-id_00004213-01_3_back.jpg,deepfashion,The pants this lady wears is of three-point length. The pants are with cotton fabric and graphic patterns. There is an accessory on her wrist. This la,Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\MEN-Tees_Tanks-id_00002381-01_3_back.jpg,deepfashion,The person is wearing a long-sleeve shirt with solid color patterns. The shirt is with cotton fabric. There is clothing on his waist.,Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\WOMEN-Sweaters-id_00002089-09_7_additional.jpg,deepfashion,"The upper clothing has long sleeves, cotton fabric and pure color patterns. It has a crew neckline.",Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\WOMEN-Graphic_Tees-id_00001888-01_2_side.jpg,deepfashion,This lady is wearing a short-sleeve T-shirt with graphic patterns. The T-shirt is with cotton fabric and its neckline is round.,Cotton,caption_keyword,0.7,NOISY
C:\Users\sama\OneDrive\Desktop\naishtex\Textile\Backend\data\processed\material_deepfashion\Cotton\MEN-Shorts-id_00001109-01_1_front.jpg,deepfashion,"The T-shirt this gentleman wears has short sleeves, its fabric is cotton, and it has solid color patterns. The T-shirt has a crew neckline. This gentl",Cotton,caption_keyword,0.7,NOISY
