garment_id,image_path,current_label,caption,material_mentions,confidence,split,conflict_group
00001150-01,Backend\data\processed\material_deepfashion\Denim\WOMEN-Cardigans-id_00001150-01_7_additional.jpg,Denim,This lady wears a sleeveless tank top with color block patterns and a short shorts. The tank top is with knitting fabric. The shorts are with denim fa,Denim,HIGH,train,Denim vs Mixed Fabrics
00001150-01,Backend\data\processed\material_deepfashion\Mixed Fabrics\WOMEN-Cardigans-id_00001150-01_1_front.jpg,Mixed Fabrics,This person wears a sleeveless tank shirt with graphic patterns and a three-point shorts. The tank shirt is with cotton fabric and its neckline is rou,Cotton,LOW,train,Denim vs Mixed Fabrics
00001150-01,Backend\data\processed\material_deepfashion\Mixed Fabrics\WOMEN-Cardigans-id_00001150-01_2_side.jpg,Mixed Fabrics,The female wears a tank tank top with graphic patterns. The tank top is with cotton fabric. The female wears a three-point pants. The pants are with d,Cotton,LOW,train,Denim vs Mixed Fabrics
00001820-02,Backend\data\processed\material_deepfashion\Cotton\WOMEN-Tees_Tanks-id_00001820-02_1_front.jpg,Cotton,"Her tank top has no sleeves, cotton fabric and graphic patterns. The neckline of it is suspenders. There is an accessory in his her neck. This lady is",Cotton,HIGH,test,Cotton vs Mixed Fabrics
00001820-02,Backend\data\processed\material_deepfashion\Mixed Fabrics\WOMEN-Tees_Tanks-id_00001820-02_7_additional.jpg,Mixed Fabrics,This female wears a tank tank shirt with graphic patterns and a three-point shorts. The tank shirt is with cotton fabric and its neckline is suspender,Cotton,LOW,test,Cotton vs Mixed Fabrics
00002642-02,Backend\data\processed\material_deepfashion\Cotton\WOMEN-Tees_Tanks-id_00002642-02_7_additional.jpg,Cotton,"The upper clothing has no sleeves, cotton fabric and striped patterns. It has a round neckline. This female wears a ring.",Cotton,HIGH,train,Cotton vs Mixed Fabrics
00002642-02,Backend\data\processed\material_deepfashion\Mixed Fabrics\WOMEN-Tees_Tanks-id_00002642-02_1_front.jpg,Mixed Fabrics,"The upper clothing has sleeves cut off, cotton fabric and stripe patterns. The neckline of it is crew. The lower clothing is of long length. The fabri",Cotton,LOW,train,Cotton vs Mixed Fabrics
00002746-02,Backend\data\processed\material_deepfashion\Denim\WOMEN-Sweaters-id_00002746-02_3_back.jpg,Denim,"The sweater this person wears has long sleeves, its fabric is mixed, and it has mixed patterns. This person wears a long pants, with denim fabric and ",Denim,HIGH,train,Denim vs Mixed Fabrics
00002746-02,Backend\data\processed\material_deepfashion\Mixed Fabrics\WOMEN-Sweaters-id_00002746-02_1_front.jpg,Mixed Fabrics,"Her shirt has long sleeves, cotton fabric and graphic patterns. The neckline of it is crew. This female wears a long trousers. The trousers are with d",Cotton,LOW,train,Denim vs Mixed Fabrics
00003016-01,Backend\data\processed\material_deepfashion\Denim\WOMEN-Blouses_Shirts-id_00003016-01_3_back.jpg,Denim,"The tank shirt this female wears has no sleeves, its fabric is denim, and it has pure color patterns.",Denim,HIGH,test,Denim vs Mixed Fabrics
00003016-01,Backend\data\processed\material_deepfashion\Mixed Fabrics\WOMEN-Blouses_Shirts-id_00003016-01_7_additional.jpg,Mixed Fabrics,The tank top this lady wears has sleeves cut off and its fabric is denim. The pattern of it is pure color. It has a suspenders neckline. This lady wea,Denim,LOW,test,Denim vs Mixed Fabrics
00003060-05,Backend\data\processed\material_deepfashion\Cotton\MEN-Sweatshirts_Hoodies-id_00003060-05_1_front.jpg,Cotton,"The upper clothing has long sleeves, cotton fabric and plaid patterns. The neckline of it is lapel. The gentleman also wears an outer clothing, with c",Cotton,HIGH,train,Cotton vs Mixed Fabrics
00003060-05,Backend\data\processed\material_deepfashion\Mixed Fabrics\MEN-Sweatshirts_Hoodies-id_00003060-05_7_additional.jpg,Mixed Fabrics,The sweater this man wears has long sleeves and its fabric is cotton. The pattern of it is plaid. It has a lapel neckline. This man wears a long pants,Cotton,LOW,train,Cotton vs Mixed Fabrics
