image_path,current_label,caption,material_mentions,confidence,garment_id,split,reason
Backend\data\processed\material_deepfashion\Cotton\MEN-Jackets_Vests-id_00006912-06_3_back.jpg,Cotton,"The sweater this guy wears has long sleeves and its fabric is mixed. The pattern of it is other. The gentleman also wears an outer clothing, with cott",,LOW,00006912-06,validation,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\MEN-Sweatshirts_Hoodies-id_00004423-01_1_front.jpg,Cotton,The person is wearing a tank tank shirt with other patterns. The tank shirt is with other fabric. It has a round neckline. The outer clothing is with ,,LOW,00004423-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Blouses_Shirts-id_00000414-02_1_front.jpg,Cotton,This person is wearing a sleeveless tank top with solid color patterns and a long trousers. The tank top is with chiffon fabric and its neckline is su,,LOW,00000414-02,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Blouses_Shirts-id_00002304-01_1_front.jpg,Cotton,"Her tank top has no sleeves, chiffon fabric and graphic patterns. It has a crew neckline. This woman wears a three-point pants. The pants are with cot",,LOW,00002304-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Blouses_Shirts-id_00004189-05_1_front.jpg,Cotton,"Her tank top has sleeves cut off, chiffon fabric and graphic patterns. The neckline of it is suspenders. The shorts this woman wears is of three-point",,LOW,00004189-05,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Cardigans-id_00000920-02_1_front.jpg,Cotton,"The upper clothing has sleeves cut off, chiffon fabric and graphic patterns. It has a v-shape neckline. This person also wears an outer clothing, with",,LOW,00000920-02,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Cardigans-id_00003542-03_1_front.jpg,Cotton,The person is wearing a medium-sleeve shirt with solid color patterns. The shirt is with chiffon fabric. It has a round neckline. The outer clothing t,,LOW,00003542-03,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Jackets_Coats-id_00003201-01_4_full.jpg,Cotton,The female is wearing a long-sleeve shirt with other patterns. The shirt is with mixed fabric. It has a lapel neckline. The female wears a long pants.,,LOW,00003201-01,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Jackets_Coats-id_00004828-01_3_back.jpg,Cotton,"The person is wearing a long-sleeve sweater with other patterns. The sweater is with mixed fabric. The person also wears an outer clothing, with cotto",,LOW,00004828-01,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Jackets_Coats-id_00005263-06_3_back.jpg,Cotton,This woman wears a long-sleeve shirt with pure color patterns. The shirt is with chiffon fabric and it has a v-shape neckline. The outer clothing is w,,LOW,00005263-06,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Jackets_Coats-id_00005842-02_2_side.jpg,Cotton,The lady is wearing a long-sleeve sweater with pure color patterns. The sweater is with leather fabric. The lady wears a three-point pants. The pants ,,LOW,00005842-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Jackets_Coats-id_00006054-04_3_back.jpg,Cotton,"Her sweater has long sleeves, other fabric and mixed patterns. It has a lapel neckline. The shorts the lady wears is of three-point length. The shorts",,LOW,00006054-04,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Pants-id_00004271-03_4_full.jpg,Cotton,This lady wears a long-sleeve shirt with solid color patterns. The shirt is with knitting fabric. It has a crew neckline. This lady wears a long trous,,LOW,00004271-03,test,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Shorts-id_00005953-02_4_full.jpg,Cotton,"The tank top this lady wears has no sleeves, its fabric is knitting, and it has other patterns. The tank top has a suspenders neckline. This lady wear",,LOW,00005953-02,train,caption does not support assigned label
Backend\data\processed\material_deepfashion\Cotton\WOMEN-Shorts-id_00007500-03_1_front.jpg,Cotton,This lady is wearing a sleeveless tank top with graphic patterns and a three-point shorts. The tank top is with knitting fabric and its neckline is su,,LOW,00007500-03,train,caption does not support assigned label
